Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1782766969,148577545,24,0,0,0,0.00,0.25
1782766970,148571029,39,0,0,0,0.00,1.00
1782766971,148574045,70,2,2,0,0.00,1.26
1782766972,148608832,72,0,0,0,0.00,0.76
1782766973,148569661,50,0,0,0,0.00,1.01
1782766974,148531323,39,0,0,0,0.00,1.01
1782766975,148569026,55,0,0,0,0.00,1.75
1782766976,148578032,31,0,0,0,0.00,0.76
1782766977,148613912,49,0,0,0,0.00,0.75
1782766978,148571147,59,1,1,0,0.00,0.76
1782766979,148573017,48,0,1,0,0.00,1.26
1782766980,148566086,49,1,1,0,0.00,1.26
1782766981,148570768,42,0,0,0,0.00,0.25
1782766982,148569461,38,0,1,0,0.00,0.51
1782766983,148567998,16,0,0,0,0.00,0.50
1782766984,148569973,44,2,2,0,0.00,0.76
1782766985,148574603,28,0,0,0,0.00,1.25
1782766986,148573557,83,1,1,0,0.00,1.51
1782766987,148571937,56,0,1,0,0.00,1.26
1782766988,148568391,52,0,0,0,0.00,0.76
1782766989,148569949,66,0,0,0,0.00,2.01
1782766990,148569735,44,0,0,0,0.00,0.76
1782766991,148570356,62,0,0,0,0.00,1.76
1782766992,148571080,53,0,0,0,0.00,1.50
1782766993,148567429,47,0,0,0,0.00,1.01
1782766994,148569091,58,1,1,0,0.00,1.01
1782766995,148571743,31,0,0,0,0.00,0.75
1782766996,148568821,32,0,0,0,0.00,0.25
1782766997,148571889,77,1,3,0,0.00,1.26
1782766998,148575322,42,0,1,0,0.00,1.50
1782766999,148569328,52,1,1,0,0.00,1.26
1782767000,148569687,49,0,0,0,0.00,1.25
1782767001,148573224,29,1,0,0,0.00,0.76
1782767002,148573271,50,0,0,0,0.00,0.51
1782767003,148573475,47,0,1,0,0.00,2.00
1782767004,148575241,40,1,1,0,0.00,0.51
1782767005,148569715,27,0,0,0,0.00,0.75
1782767006,148571846,37,0,0,0,0.00,0.25
1782767007,148567779,81,0,0,0,0.00,1.01
1782767008,148537774,44,0,0,0,0.00,1.25
1782767009,148571311,63,1,0,0,0.00,1.76
1782767010,148573233,41,0,1,0,0.00,1.50
1782767011,148569582,48,0,1,0,0.00,1.01
1782767012,148571817,46,0,0,0,0.00,0.51
1782767013,148574781,46,1,1,0,0.00,1.01
1782767014,148566130,57,0,0,0,0.00,1.51
1782767015,148567375,54,0,1,0,0.00,1.26
1782767016,148577735,47,0,0,0,0.00,0.76
1782767017,148571168,54,0,1,0,0.00,1.26
1782767018,148570434,50,1,1,0,0.00,1.26
1782767019,148565221,34,0,1,0,0.00,1.00
1782767020,148565164,47,0,0,0,0.00,0.76
1782767021,148571982,39,1,1,0,0.00,1.50
1782767022,148570623,53,0,0,0,0.00,1.50
1782767023,148570202,48,0,1,0,0.00,1.26
1782767024,148565613,36,0,0,0,0.00,1.50
1782767025,148571859,38,0,0,0,0.00,1.25
1782767026,148571593,51,0,0,0,0.00,1.01
1782767027,148574557,67,0,0,0,0.00,1.51
1782767028,148572730,64,0,0,0,0.00,1.26
1782767029,148572048,44,0,0,0,0.00,0.76
1782767030,148572512,45,1,1,0,0.00,0.76
1782767031,148565267,51,0,0,0,0.00,2.00
1782767032,148571304,46,0,0,0,0.00,0.76
1782767033,148585310,49,0,0,0,0.00,1.75
1782767034,148569680,57,0,0,0,0.00,1.26
1782767035,148571550,42,0,0,0,0.00,1.26
1782767036,148567170,53,2,2,0,0.00,1.26
1782767037,148564457,47,0,1,0,0.00,1.50
1782767038,148573046,44,1,1,0,0.00,0.76
1782767039,148567676,41,0,0,0,0.00,1.25
1782767040,148566265,46,0,1,0,0.00,0.76
1782767041,148568396,46,0,0,0,0.00,0.76
1782767042,148566308,39,1,1,0,0.00,1.25
1782767043,148569480,28,0,0,0,0.00,0.25
1782767044,148570986,36,1,1,0,0.00,0.75
1782767045,148571085,48,0,0,0,0.00,1.26
1782767046,148534518,60,0,0,0,0.00,0.25
1782767047,148568523,54,1,1,0,0.00,1.01
1782767048,148565810,64,0,0,0,0.00,1.01
1782767049,148563930,55,0,0,0,0.00,0.76
1782767050,148561946,62,0,0,0,0.00,1.26
1782767051,148564806,54,0,1,0,0.00,1.26
1782767052,148527614,63,1,1,0,0.00,1.01
1782767053,148571723,44,0,0,0,0.00,1.26
1782767054,148570885,57,0,0,0,0.00,1.26
1782767055,148571245,54,2,2,0,0.00,1.01
1782767056,148570928,41,0,1,0,0.00,0.76
1782767057,148572017,47,0,0,0,0.00,1.01
1782767058,148569355,67,1,1,0,0.00,1.76
1782767059,148578934,49,0,0,0,0.00,0.76
1782767060,148573200,42,0,0,0,0.00,0.75
1782767061,148573403,46,1,1,0,0.00,0.76
1782767062,148571159,42,1,0,0,0.00,1.01
1782767063,148568810,51,0,0,0,0.00,1.01
1782767064,148583910,40,1,1,0,0.00,0.76
1782767065,148567759,38,0,0,0,0.00,1.25
1782767066,148609473,55,1,1,0,0.00,1.26
1782767067,148573843,64,0,0,0,0.00,0.76
1782767068,148605661,61,1,1,0,0.00,1.26
1782767069,148571750,48,0,0,0,0.00,0.76
1782767070,148600912,60,0,0,0,0.00,0.25
1782767071,148572782,44,0,0,0,0.00,0.76
1782767072,148569392,44,0,0,0,0.00,1.25
1782767073,148569075,57,0,0,0,0.00,1.51
1782767074,148580580,39,0,0,0,0.00,1.00
1782767075,148568596,51,0,0,0,0.00,0.51
1782767076,148566248,41,1,2,0,0.00,1.25
1782767077,148565514,37,0,1,0,0.00,1.00
1782767078,148566811,55,0,0,0,0.00,1.01
1782767079,148569723,46,0,0,0,0.00,1.01
1782767080,148567478,43,0,0,0,0.00,1.25
1782767081,148561640,47,0,0,0,0.00,1.01
1782767082,148685229,39,0,0,0,0.00,1.25
1782767083,148565484,55,0,0,0,0.00,1.26
1782767084,148570063,38,0,1,0,0.00,1.01
1782767085,148607141,51,0,0,0,0.00,0.51
1782767086,148571303,29,0,0,0,0.00,1.00
1782767087,148564528,30,0,0,0,0.00,1.25
1782767088,148576919,56,0,0,0,0.00,0.50
1782767089,148570455,89,0,0,0,0.00,1.01
1782767090,148566857,48,1,1,0,0.00,0.76
1782767091,148572269,38,0,0,0,0.00,0.25
1782767092,148574347,34,1,1,0,0.00,1.01
1782767093,148568405,52,0,0,0,0.00,0.76
1782767094,148659910,47,0,0,0,0.00,0.76
1782767095,148571728,50,0,0,0,0.00,1.50
1782767096,148571984,37,0,0,0,0.00,0.76
1782767097,148568437,42,0,0,0,0.00,0.51
1782767098,148567287,69,0,0,0,0.00,1.26
1782767099,148572282,51,0,0,0,0.00,0.76
1782767100,148579569,39,0,0,0,0.00,0.51
1782767101,148605501,33,0,0,0,0.00,0.25
1782767102,148604559,36,0,1,0,0.00,1.00
1782767103,148571377,61,0,0,0,0.00,1.01
1782767104,148578143,59,0,0,0,0.00,1.01
1782767105,148566576,42,1,1,0,0.00,0.76
1782767106,148576050,43,1,1,0,0.00,1.26
1782767107,148666306,73,0,0,0,0.00,1.26
1782767108,148567863,82,0,0,0,0.00,1.77
1782767109,148570515,76,0,0,0,0.00,2.01
1782767110,148567280,22,0,0,0,0.00,0.51
1782767111,148568109,74,2,2,0,0.00,1.50
1782767112,148574924,62,0,0,0,0.00,1.26
1782767113,148568136,55,1,2,0,0.05,1.51
1782767114,148532159,53,0,0,0,0.00,0.25
1782767115,148573348,49,0,0,0,0.00,1.26
1782767116,148607953,36,0,0,0,0.00,1.00
1782767117,148574774,52,0,0,0,0.00,1.76
1782767118,148573501,43,0,0,0,0.00,0.51
1782767119,148573613,51,0,0,0,0.00,1.01
1782767120,148571098,41,0,0,0,0.00,1.01
1782767121,148575124,81,0,0,0,0.00,1.01
1782767122,148572202,46,1,1,0,0.00,1.25
1782767123,148573424,56,1,3,0,0.00,1.26
1782767124,148574208,60,0,0,0,0.00,1.01
1782767125,148572992,54,0,0,0,0.00,1.50
1782767126,148571181,47,0,0,0,0.00,0.51
1782767127,148565338,56,0,1,0,0.00,1.01
1782767128,148568640,48,1,1,0,0.00,0.76
1782767129,148573588,54,0,0,0,0.00,1.26
1782767130,148571378,46,0,0,0,0.00,0.76
1782767131,148569564,52,0,0,0,0.00,0.76
1782767132,148573354,56,0,0,0,0.00,1.01
1782767133,148584467,53,0,0,0,0.00,0.51
1782767134,148569255,55,0,0,0,0.00,2.00
1782767135,148578242,67,0,1,0,0.00,1.01
1782767136,148571947,40,0,0,0,0.00,0.51
1782767137,148572870,51,0,0,0,0.00,0.51
1782767138,148575960,49,1,1,0,0.00,1.75
1782767139,148573821,51,0,0,0,0.00,1.26
1782767140,148603327,35,0,1,0,0.00,0.50
1782767141,148588802,44,0,0,0,0.00,1.25
1782767142,148570870,32,0,0,0,0.00,0.50
1782767143,148573230,41,0,0,0,0.00,0.51
1782767144,148571039,47,0,0,0,0.00,1.25
1782767145,148584139,56,0,0,0,0.00,1.01
1782767146,148569509,38,2,2,0,0.00,1.01
1782767147,148580485,38,0,0,0,0.00,2.00
1782767148,148573158,54,1,1,0,0.00,0.51
1782767149,148564977,51,0,0,0,0.00,1.26
1782767150,148573703,46,0,0,0,0.00,0.25
1782767151,148573086,35,0,0,0,0.00,0.51
1782767152,148570573,48,1,1,0,0.00,0.76
1782767153,148576269,49,0,0,0,0.00,1.26
1782767154,148569444,57,1,2,0,0.00,0.76
1782767155,148626506,37,0,2,0,0.00,1.01
1782767156,148568807,62,0,0,0,0.00,1.26
1782767157,148572077,36,0,0,0,0.00,0.51
1782767158,148568453,61,0,0,0,0.00,2.49
1782767159,148609391,56,0,0,0,0.00,1.27
1782767160,148575414,62,0,0,0,0.00,0.51
1782767161,148576780,43,1,1,0,0.00,0.75
1782767162,148573179,35,0,0,0,0.00,0.75
1782767163,148566641,77,1,1,0,0.00,1.25
1782767164,148568990,46,1,1,0,0.00,0.76
1782767165,148569079,44,0,0,0,0.00,1.01
1782767166,148571700,50,0,0,0,0.00,0.51
